# Frame-by-frame normalized mouth-region optical motion for reel_c1 (945.0s - 985.0s)
# frame_idx	time_sec	mouth_spk_a	mouth_spk_b	diff (a - b)
   0	 945.000	0.0000	0.0000	+0.0000
   1	 945.033	0.0596	0.0757	-0.0162
   2	 945.067	0.1160	0.0624	+0.0536
   3	 945.100	0.0972	0.0288	+0.0683
   4	 945.133	0.1517	0.0462	+0.1054
   5	 945.167	0.1855	0.0601	+0.1254
   6	 945.200	0.1371	0.0916	+0.0455
   7	 945.233	0.7385	0.1034	+0.6351
   8	 945.267	0.1695	0.0669	+0.1026
   9	 945.300	0.1148	1.0000	-0.8852
  10	 945.333	0.0719	0.7844	-0.7125
  11	 945.367	0.0531	0.7132	-0.6601
  12	 945.400	0.0311	0.4647	-0.4336
  13	 945.433	0.0320	0.4295	-0.3975
  14	 945.467	0.0266	0.4955	-0.4689
  15	 945.500	0.4355	0.4628	-0.0273
  16	 945.533	0.4717	0.1542	+0.3175
  17	 945.567	0.0378	0.1888	-0.1510
  18	 945.600	0.0620	0.5817	-0.5197
  19	 945.633	0.0801	0.6756	-0.5956
  20	 945.667	0.0632	0.6424	-0.5791
  21	 945.700	0.1314	0.6156	-0.4842
  22	 945.733	0.1192	0.3065	-0.1873
  23	 945.767	0.7672	0.2082	+0.5591
  24	 945.800	0.0863	0.2561	-0.1698
  25	 945.833	0.0806	0.3026	-0.2220
  26	 945.867	0.0444	0.3322	-0.2878
  27	 945.900	0.0465	0.4558	-0.4093
  28	 945.933	0.0552	0.4663	-0.4111
  29	 945.967	0.0718	0.3919	-0.3201
  30	 946.000	0.0572	0.4921	-0.4349
  31	 946.033	0.0872	0.4175	-0.3303
  32	 946.067	0.7794	0.6278	+0.1516
  33	 946.100	0.1044	0.6141	-0.5097
  34	 946.133	0.0795	1.0000	-0.9205
  35	 946.167	0.0578	0.1682	-0.1104
  36	 946.200	0.6122	0.0710	+0.5412
  37	 946.233	0.0330	0.1438	-0.1108
  38	 946.267	0.0219	0.1851	-0.1632
  39	 946.300	0.6183	0.1272	+0.4911
  40	 946.333	0.1024	0.1252	-0.0228
  41	 946.367	0.7909	0.0692	+0.7217
  42	 946.400	0.1126	0.0630	+0.0496
  43	 946.433	0.1304	0.0796	+0.0509
  44	 946.467	0.0885	0.0991	-0.0106
  45	 946.500	0.0870	0.1195	-0.0325
  46	 946.533	0.0731	0.0998	-0.0267
  47	 946.567	0.0454	0.1171	-0.0717
  48	 946.600	0.0695	0.1184	-0.0488
  49	 946.633	0.1162	0.0630	+0.0532
  50	 946.667	0.0891	0.1071	-0.0180
  51	 946.700	0.1124	0.2131	-0.1007
  52	 946.733	0.0706	1.0000	-0.9294
  53	 946.767	0.8006	0.4595	+0.3412
  54	 946.800	0.0830	0.4339	-0.3509
  55	 946.833	0.0436	0.5437	-0.5001
  56	 946.867	0.0461	0.5272	-0.4811
