# Per-frame agreement breakdown for reel_c1: mouth optical motion choice vs diarization label
# Note: diar_label shows raw transcript segment speaker; vad_speech gates active speech evaluation.
# frame	vad_speech	mouth_label	diar_label	agree
   0	True 	spk_a  	spk_a  	True 
   1	True 	spk_a  	spk_a  	True 
   2	True 	spk_a  	spk_a  	True 
   3	True 	spk_a  	spk_a  	True 
   4	True 	spk_a  	spk_a  	True 
   5	True 	spk_a  	spk_a  	True 
   6	True 	spk_a  	spk_a  	True 
   7	True 	spk_a  	spk_a  	True 
   8	True 	spk_b  	spk_a  	False
   9	True 	spk_b  	spk_a  	False
  10	True 	spk_b  	spk_a  	False
  11	True 	spk_b  	spk_a  	False
  12	True 	spk_b  	spk_a  	False
  13	True 	spk_b  	spk_a  	False
  14	True 	spk_b  	spk_a  	False
  15	True 	spk_b  	spk_a  	False
  16	True 	spk_b  	spk_a  	False
  17	True 	spk_b  	spk_a  	False
  18	True 	spk_b  	spk_a  	False
  19	True 	spk_b  	spk_a  	False
  20	True 	spk_b  	spk_a  	False
  21	True 	spk_b  	spk_a  	False
  22	True 	spk_a  	spk_a  	True 
  23	True 	spk_a  	spk_a  	True 
  24	True 	spk_a  	spk_a  	True 
  25	True 	spk_a  	spk_a  	True 
  26	True 	spk_a  	spk_a  	True 
  27	True 	spk_a  	spk_a  	True 
  28	True 	spk_a  	spk_a  	True 
  29	True 	spk_a  	spk_a  	True 
  30	True 	spk_b  	spk_a  	False
  31	True 	spk_b  	spk_a  	False
  32	True 	spk_b  	spk_a  	False
  33	True 	spk_b  	spk_a  	False
  34	True 	spk_b  	spk_a  	False
  35	True 	spk_b  	spk_a  	False
  36	True 	spk_b  	spk_a  	False
  37	True 	spk_a  	spk_a  	True 
  38	True 	spk_a  	spk_a  	True 
  39	True 	spk_a  	spk_a  	True 
  40	True 	spk_a  	spk_a  	True 
  41	True 	spk_a  	spk_a  	True 
  42	True 	spk_a  	spk_a  	True 
  43	True 	spk_a  	spk_a  	True 
  44	True 	spk_a  	spk_a  	True 
  45	True 	spk_a  	spk_a  	True 
  46	True 	spk_a  	spk_a  	True 
  47	True 	spk_a  	spk_a  	True 
  48	True 	spk_a  	spk_a  	True 
  49	True 	spk_a  	spk_a  	True 
  50	True 	spk_a  	spk_a  	True 
  51	True 	spk_a  	spk_a  	True 
  52	True 	spk_a  	spk_a  	True 
  53	True 	spk_a  	spk_a  	True 
  54	True 	spk_a  	spk_a  	True 
  55	True 	spk_a  	spk_a  	True 
  56	True 	spk_b  	spk_a  	False
  57	True 	spk_b  	spk_a  	False
  58	True 	spk_b  	spk_a  	False
  59	True 	spk_b  	spk_a  	False
  60	True 	spk_b  	spk_a  	False
  61	True 	spk_b  	spk_a  	False
  62	True 	spk_b  	spk_a  	False
  63	True 	spk_b  	spk_a  	False
  64	True 	spk_b  	spk_a  	False
  65	True 	spk_a  	spk_a  	True 
  66	True 	spk_a  	spk_a  	True 
  67	True 	spk_a  	spk_a  	True 
  68	True 	spk_a  	spk_a  	True 
  69	False	spk_a  	spk_a  	False
  70	False	spk_a  	spk_a  	False
  71	False	spk_a  	spk_a  	False
  72	False	spk_a  	spk_a  	False
  73	False	spk_a  	spk_a  	False
  74	False	spk_a  	spk_a  	False
  75	False	spk_b  	spk_a  	False
  76	False	spk_b  	spk_a  	False
  77	False	spk_b  	spk_a  	False
  78	True 	spk_b  	spk_a  	False
  79	True 	spk_b  	spk_a  	False
  80	True 	spk_b  	spk_a  	False
  81	True 	spk_b  	spk_a  	False
  82	True 	spk_b  	spk_a  	False
  83	True 	spk_b  	spk_a  	False
  84	True 	spk_b  	spk_a  	False
  85	True 	spk_b  	spk_a  	False
  86	True 	spk_b  	spk_a  	False
  87	True 	spk_b  	spk_a  	False
  88	True 	spk_a  	spk_a  	True 
  89	True 	spk_a  	spk_a  	True 
  90	True 	spk_a  	spk_a  	True 
  91	True 	spk_a  	spk_a  	True 
  92	True 	spk_a  	spk_a  	True 
  93	True 	spk_b  	spk_a  	False
  94	True 	spk_b  	spk_a  	False
  95	True 	spk_b  	spk_a  	False
  96	True 	spk_b  	spk_a  	False
  97	True 	spk_b  	spk_a  	False
  98	True 	spk_b  	spk_a  	False
  99	True 	spk_b  	spk_a  	False
 100	True 	spk_b  	spk_a  	False
 101	True 	spk_b  	spk_a  	False
 102	True 	spk_b  	spk_a  	False
 103	True 	spk_b  	spk_a  	False
 104	True 	spk_b  	spk_a  	False
 105	True 	spk_b  	spk_a  	False
 106	True 	spk_b  	spk_a  	False
 107	True 	spk_b  	spk_a  	False
 108	False	spk_b  	spk_a  	False
 109	False	spk_a  	spk_a  	False
 110	False	spk_a  	spk_a  	False
 111	False	spk_a  	spk_a  	False
 112	False	spk_a  	spk_a  	False
 113	False	spk_a  	spk_a  	False
 114	False	spk_a  	spk_a  	False
 115	False	spk_a  	spk_a  	False
 116	False	spk_a  	spk_a  	False
 117	False	spk_b  	spk_a  	False
 118	False	spk_b  	spk_a  	False
 119	False	spk_a  	spk_a  	False
 120	True 	spk_a  	spk_a  	True 
 121	True 	spk_a  	spk_a  	True 
 122	True 	spk_a  	spk_a  	True 
 123	True 	spk_a  	spk_a  	True 
 124	True 	spk_a  	spk_a  	True 
 125	True 	spk_a  	spk_a  	True 
 126	True 	spk_b  	spk_a  	False
 127	True 	spk_b  	spk_a  	False
 128	True 	spk_b  	spk_a  	False
 129	True 	spk_b  	spk_a  	False
 130	True 	spk_b  	spk_a  	False
 131	True 	spk_b  	spk_a  	False
 132	True 	spk_b  	spk_a  	False
 133	True 	spk_b  	spk_a  	False
 134	True 	spk_b  	spk_a  	False
 135	True 	spk_a  	spk_a  	True 
 136	True 	spk_a  	spk_a  	True 
 137	True 	spk_a  	spk_a  	True 
 138	True 	spk_a  	spk_a  	True 
 139	True 	spk_b  	spk_a  	False
 140	True 	spk_b  	spk_a  	False
 141	True 	spk_b  	spk_a  	False
 142	True 	spk_b  	spk_a  	False
 143	True 	spk_b  	spk_a  	False
 144	True 	spk_b  	spk_a  	False
 145	True 	spk_a  	spk_a  	True 
 146	True 	spk_a  	spk_a  	True 
 147	True 	spk_a  	spk_a  	True 
 148	True 	spk_a  	spk_a  	True 
 149	True 	spk_a  	spk_a  	True 
 150	True 	spk_a  	spk_a  	True 
 151	True 	spk_a  	spk_a  	True 
 152	True 	spk_a  	spk_a  	True 
 153	True 	spk_b  	spk_a  	False
 154	True 	spk_a  	spk_a  	True 
 155	True 	spk_a  	spk_a  	True 
 156	True 	spk_a  	spk_a  	True 
 157	True 	spk_a  	spk_a  	True 
 158	True 	spk_a  	spk_a  	True 
 159	True 	spk_a  	spk_a  	True 
 160	True 	spk_a  	spk_a  	True 
 161	True 	spk_a  	spk_a  	True 
 162	True 	spk_b  	spk_a  	False
 163	True 	spk_b  	spk_a  	False
 164	True 	spk_b  	spk_a  	False
 165	True 	spk_b  	spk_a  	False
 166	True 	spk_b  	spk_a  	False
 167	True 	spk_b  	spk_a  	False
 168	True 	spk_b  	spk_a  	False
 169	True 	spk_b  	spk_a  	False
 170	True 	spk_b  	spk_a  	False
 171	True 	spk_a  	spk_a  	True 
 172	True 	spk_a  	spk_a  	True 
 173	True 	spk_a  	spk_a  	True 
 174	True 	spk_a  	spk_a  	True 
 175	True 	spk_a  	spk_a  	True 
 176	True 	spk_b  	spk_a  	False
 177	True 	spk_b  	spk_a  	False
 178	True 	spk_b  	spk_a  	False
 179	True 	spk_b  	spk_a  	False
 180	True 	spk_b  	spk_a  	False
 181	True 	spk_b  	spk_a  	False
 182	True 	spk_b  	spk_a  	False
 183	True 	spk_b  	spk_a  	False
 184	True 	spk_b  	spk_a  	False
 185	True 	spk_a  	spk_a  	True 
 186	True 	spk_b  	spk_a  	False
 187	True 	spk_b  	spk_a  	False
 188	True 	spk_b  	spk_a  	False
 189	True 	spk_b  	spk_a  	False
 190	True 	spk_b  	spk_a  	False
 191	True 	spk_b  	spk_a  	False
 192	True 	spk_b  	spk_a  	False
 193	True 	spk_b  	spk_a  	False
 194	True 	spk_b  	spk_a  	False
 195	True 	spk_b  	spk_a  	False
 196	True 	spk_b  	spk_a  	False
 197	True 	spk_b  	spk_a  	False
 198	True 	spk_b  	spk_a  	False
 199	True 	spk_b  	spk_a  	False
 200	True 	spk_b  	spk_a  	False
 201	True 	spk_b  	spk_a  	False
 202	True 	spk_b  	spk_a  	False
 203	True 	spk_b  	spk_a  	False
 204	True 	spk_b  	spk_a  	False
 205	True 	spk_b  	spk_a  	False
 206	True 	spk_b  	spk_a  	False
 207	True 	spk_b  	spk_a  	False
 208	True 	spk_b  	spk_a  	False
 209	True 	spk_b  	spk_a  	False
 210	False	spk_b  	spk_a  	False
 211	False	spk_b  	spk_a  	False
 212	False	spk_b  	spk_a  	False
 213	False	spk_b  	spk_a  	False
