# Frame-by-frame normalized mouth-region optical motion for reel_c1 (945.0s - 985.0s)
# Summary: ma min=0.0056, max=0.6114, eq1.0=0 | mb min=0.0000, max=0.9091, eq1.0=0
# frame_idx	time_sec	mouth_spk_a	mouth_spk_b	diff (a - b)
   0	 945.000	0.1879	0.0631	+0.1248
   1	 945.033	0.2466	0.0631	+0.1835
   2	 945.067	0.2960	0.1003	+0.1957
   3	 945.100	0.3363	0.1432	+0.1931
   4	 945.133	0.4679	0.1939	+0.2740
   5	 945.167	0.4874	0.2121	+0.2753
   6	 945.200	0.4491	0.4132	+0.0359
   7	 945.233	0.4001	0.5624	-0.1623
   8	 945.267	0.3550	0.5762	-0.2213
   9	 945.300	0.3079	0.5390	-0.2312
  10	 945.333	0.2676	0.5189	-0.2514
  11	 945.367	0.1388	0.5019	-0.3631
  12	 945.400	0.0914	0.4885	-0.3971
  13	 945.433	0.0536	0.3020	-0.2484
  14	 945.467	0.0366	0.1921	-0.1555
  15	 945.500	0.0331	0.3422	-0.3091
  16	 945.533	0.0476	0.5164	-0.4688
  17	 945.567	0.0589	0.6715	-0.6126
  18	 945.600	0.0970	0.6755	-0.5786
  19	 945.633	0.1220	0.6805	-0.5585
  20	 945.667	0.2775	0.6785	-0.4010
  21	 945.700	0.3045	0.6546	-0.3501
  22	 945.733	0.3362	0.5220	-0.1857
  23	 945.767	0.3401	0.3749	-0.0348
  24	 945.800	0.3669	0.2144	+0.1525
  25	 945.833	0.3586	0.1961	+0.1624
  26	 945.867	0.3533	0.1746	+0.1787
  27	 945.900	0.2075	0.1436	+0.0639
  28	 945.933	0.2049	0.1157	+0.0893
  29	 945.967	0.3103	0.1054	+0.2048
  30	 946.000	0.3281	0.2023	+0.1258
  31	 946.033	0.3157	0.2964	+0.0194
  32	 946.067	0.3002	0.3583	-0.0581
  33	 946.100	0.2773	0.3877	-0.1104
  34	 946.133	0.2752	0.4684	-0.1932
  35	 946.167	0.2611	0.4983	-0.2372
  36	 946.200	0.1393	0.4773	-0.3380
  37	 946.233	0.1352	0.3551	-0.2199
  38	 946.267	0.2599	0.2449	+0.0150
  39	 946.300	0.2724	0.1680	+0.1044
  40	 946.333	0.3033	0.1636	+0.1397
  41	 946.367	0.3364	0.0985	+0.2379
  42	 946.400	0.3572	0.0686	+0.2886
  43	 946.433	0.3762	0.0686	+0.3076
  44	 946.467	0.3573	0.0668	+0.2906
  45	 946.500	0.2375	0.1149	+0.1226
  46	 946.533	0.2721	0.1123	+0.1598
  47	 946.567	0.2540	0.0757	+0.1783
  48	 946.600	0.2506	0.0790	+0.1716
  49	 946.633	0.2534	0.1065	+0.1469
  50	 946.667	0.3695	0.1354	+0.2341
  51	 946.700	0.3789	0.2297	+0.1492
  52	 946.733	0.3650	0.2991	+0.0659
  53	 946.767	0.3166	0.3700	-0.0534
  54	 946.800	0.3049	0.4149	-0.1100
  55	 946.833	0.2713	0.4283	-0.1570
  56	 946.867	0.2399	0.4312	-0.1913
  57	 946.900	0.0962	0.4446	-0.3484
  58	 946.933	0.0888	0.4024	-0.3136
  59	 946.967	0.0847	0.3462	-0.2614
  60	 947.000	0.0895	0.3332	-0.2437
  61	 947.033	0.1028	0.3400	-0.2372
  62	 947.067	0.1173	0.3508	-0.2335
  63	 947.100	0.1189	0.3464	-0.2275
  64	 947.133	0.2609	0.3116	-0.0507
  65	 947.167	0.2528	0.2621	-0.0093
  66	 947.200	0.2462	0.1996	+0.0465
  67	 947.233	0.3792	0.1493	+0.2299
  68	 947.267	0.3652	0.1075	+0.2577
  69	 947.300	0.3580	0.0787	+0.2793
  70	 947.333	0.3595	0.0730	+0.2865
  71	 947.367	0.2068	0.0962	+0.1106
  72	 947.400	0.2073	0.1150	+0.0923
  73	 947.433	0.2114	0.1212	+0.0902
  74	 947.467	0.0700	0.1176	-0.0475
  75	 947.500	0.0670	0.1129	-0.0459
  76	 947.533	0.0654	0.1180	-0.0526
  77	 947.567	0.0626	0.1399	-0.0773
  78	 947.600	0.0610	0.1611	-0.1001
  79	 947.633	0.0552	0.2534	-0.1982
  80	 947.667	0.0499	0.4279	-0.3780
  81	 947.700	0.0449	0.5944	-0.5495
  82	 947.733	0.0422	0.6502	-0.6080
  83	 947.767	0.0362	0.6532	-0.6170
  84	 947.800	0.0356	0.6141	-0.5785
  85	 947.833	0.0368	0.5654	-0.5286
  86	 947.867	0.0378	0.4547	-0.4169
  87	 947.900	0.2015	0.3009	-0.0994
  88	 947.933	0.2080	0.1408	+0.0671
  89	 947.967	0.2147	0.0715	+0.1432
  90	 948.000	0.2215	0.0730	+0.1485
  91	 948.033	0.2259	0.1085	+0.1174
  92	 948.067	0.2282	0.1549	+0.0733
  93	 948.100	0.2302	0.2339	-0.0037
  94	 948.133	0.0728	0.2540	-0.1812
  95	 948.167	0.0686	0.2595	-0.1909
  96	 948.200	0.0632	0.3087	-0.2455
  97	 948.233	0.0555	0.3032	-0.2477
  98	 948.267	0.0621	0.2883	-0.2262
  99	 948.300	0.0592	0.2558	-0.1966
 100	 948.333	0.0661	0.1796	-0.1135
 101	 948.367	0.0609	0.1572	-0.0963
 102	 948.400	0.0661	0.1395	-0.0734
 103	 948.433	0.0626	0.4546	-0.3920
 104	 948.467	0.0788	0.4356	-0.3568
 105	 948.500	0.0874	0.4117	-0.3243
 106	 948.533	0.1020	0.3946	-0.2926
 107	 948.567	0.1082	0.3890	-0.2807
 108	 948.600	0.1459	0.3644	-0.2185
 109	 948.633	0.1793	0.3644	-0.1851
 110	 948.667	0.3089	0.0000	+0.3088
 111	 948.700	0.3048	0.0000	+0.3048
 112	 948.733	0.3020	0.0000	+0.3020
 113	 948.767	0.2870	0.0000	+0.2870
 114	 948.800	0.2736	0.0000	+0.2736
 115	 948.833	0.2471	0.0000	+0.2471
 116	 948.867	0.2093	0.0000	+0.2093
 117	 948.900	0.0768	0.0000	+0.0768
 118	 948.933	0.0784	0.0000	+0.0784
 119	 948.967	0.0694	0.0000	+0.0694
 120	 949.000	0.0824	0.0000	+0.0824
 121	 949.033	0.1968	0.0000	+0.1968
 122	 949.067	0.2159	0.0000	+0.2159
 123	 949.100	0.2427	0.0009	+0.2418
 124	 949.133	0.2987	0.0009	+0.2977
 125	 949.167	0.3394	0.0467	+0.2928
 126	 949.200	0.3513	0.1064	+0.2449
 127	 949.233	0.3624	0.1693	+0.1931
 128	 949.267	0.2909	0.1917	+0.0991
 129	 949.300	0.2999	0.2203	+0.0796
 130	 949.333	0.3034	0.2583	+0.0451
 131	 949.367	0.2930	0.2705	+0.0225
 132	 949.400	0.2778	0.2248	+0.0531
 133	 949.433	0.2901	0.1651	+0.1250
 134	 949.467	0.4050	0.1022	+0.3028
 135	 949.500	0.3820	0.1115	+0.2705
 136	 949.533	0.3460	0.1166	+0.2294
 137	 949.567	0.3133	0.0891	+0.2243
 138	 949.600	0.2724	0.0769	+0.1955
 139	 949.633	0.2401	0.0769	+0.1633
 140	 949.667	0.2091	0.0769	+0.1322
 141	 949.700	0.0811	0.0769	+0.0042
 142	 949.733	0.0695	0.0451	+0.0243
 143	 949.767	0.0766	0.0114	+0.0651
 144	 949.800	0.2147	0.0000	+0.2147
 145	 949.833	0.2199	0.0000	+0.2199
 146	 949.867	0.3538	0.0000	+0.3538
 147	 949.900	0.4950	0.0000	+0.4950
 148	 949.933	0.4899	0.0000	+0.4899
 149	 949.967	0.4813	0.0000	+0.4813
 150	 950.000	0.4760	0.0000	+0.4760
 151	 950.033	0.3346	0.0000	+0.3346
 152	 950.067	0.3295	0.0000	+0.3295
 153	 950.100	0.3242	0.0000	+0.3242
 154	 950.133	0.1773	0.0000	+0.1773
 155	 950.167	0.1685	0.0000	+0.1685
 156	 950.200	0.1642	0.0000	+0.1642
 157	 950.233	0.1570	0.0000	+0.1570
 158	 950.267	0.1646	0.0000	+0.1646
 159	 950.300	0.1614	0.0000	+0.1614
 160	 950.333	0.0241	0.0000	+0.0241
 161	 950.367	0.0264	0.0000	+0.0264
 162	 950.400	0.0257	0.0000	+0.0257
 163	 950.433	0.0238	0.1001	-0.0764
 164	 950.467	0.0217	0.2597	-0.2380
 165	 950.500	0.0198	0.4226	-0.4029
 166	 950.533	0.0199	0.4899	-0.4700
 167	 950.567	0.0244	0.4899	-0.4655
 168	 950.600	0.0220	0.4899	-0.4678
 169	 950.633	0.0315	0.4899	-0.4584
 170	 950.667	0.1742	0.3898	-0.2156
 171	 950.700	0.1860	0.2302	-0.0442
 172	 950.733	0.1796	0.0673	+0.1124
 173	 950.767	0.1834	0.0000	+0.1834
 174	 950.800	0.1786	0.0017	+0.1769
 175	 950.833	0.1885	0.2931	-0.1047
 176	 950.867	0.1835	0.3276	-0.1441
 177	 950.900	0.0481	0.3768	-0.3287
 178	 950.933	0.0411	0.4398	-0.3987
 179	 950.967	0.0432	0.5218	-0.4786
 180	 951.000	0.0622	0.5732	-0.5110
 181	 951.033	0.0671	0.6031	-0.5360
 182	 951.067	0.2050	0.3768	-0.1718
 183	 951.100	0.2171	0.4169	-0.1999
 184	 951.133	0.2181	0.4065	-0.1883
 185	 951.167	0.2390	0.6596	-0.4206
 186	 951.200	0.2511	0.5776	-0.3266
 187	 951.233	0.2389	0.5262	-0.2874
 188	 951.267	0.2439	0.4947	-0.2508
 189	 951.300	0.1048	0.4295	-0.3247
 190	 951.333	0.0906	0.3549	-0.2643
 191	 951.367	0.0839	0.5212	-0.4373
 192	 951.400	0.0640	0.2304	-0.1664
 193	 951.433	0.0589	0.2536	-0.1947
 194	 951.467	0.0642	0.2924	-0.2282
 195	 951.500	0.0710	0.3703	-0.2994
 196	 951.533	0.0793	0.5412	-0.4619
 197	 951.567	0.0894	0.7165	-0.6272
 198	 951.600	0.0965	0.6808	-0.5843
 199	 951.633	0.0997	0.8258	-0.7262
 200	 951.667	0.0977	0.8707	-0.7729
 201	 951.700	0.0942	0.8602	-0.7659
 202	 951.733	0.0839	0.8598	-0.7759
 203	 951.767	0.0838	0.7448	-0.6610
 204	 951.800	0.0874	0.6095	-0.5221
 205	 951.833	0.1047	0.4615	-0.3569
 206	 951.867	0.1261	0.3362	-0.2100
 207	 951.900	0.1325	0.2981	-0.1655
 208	 951.933	0.1452	0.3074	-0.1622
 209	 951.967	0.1653	0.2745	-0.1092
 210	 952.000	0.1693	0.2281	-0.0588
 211	 952.033	0.1618	0.2183	-0.0565
 212	 952.067	0.1522	0.2406	-0.0884
 213	 952.100	0.1349	0.3625	-0.2276
 214	 952.133	0.1294	0.3526	-0.2232
 215	 952.167	0.1121	0.3150	-0.2028
 216	 952.200	0.1099	0.2704	-0.1605
 217	 952.233	0.1249	0.2608	-0.1359
 218	 952.267	0.1344	0.2471	-0.1127
 219	 952.300	0.1546	0.2034	-0.0488
 220	 952.333	0.1673	0.0374	+0.1299
 221	 952.367	0.1831	0.0354	+0.1477
 222	 952.400	0.3075	0.0573	+0.2502
 223	 952.433	0.2908	0.0789	+0.2119
 224	 952.467	0.2566	0.1267	+0.1299
 225	 952.500	0.2413	0.1761	+0.0651
 226	 952.533	0.2109	0.1761	+0.0347
 227	 952.567	0.1865	0.2842	-0.0978
 228	 952.600	0.1667	0.3782	-0.2115
 229	 952.633	0.0441	0.4118	-0.3677
 230	 952.667	0.0379	0.4295	-0.3916
 231	 952.700	0.0387	0.4003	-0.3617
 232	 952.733	0.0350	0.3408	-0.3058
 233	 952.767	0.0331	0.3443	-0.3111
 234	 952.800	0.0364	0.2631	-0.2266
 235	 952.833	0.0328	0.2015	-0.1686
 236	 952.867	0.0252	0.1690	-0.1438
 237	 952.900	0.0366	0.1819	-0.1453
 238	 952.933	0.0399	0.2190	-0.1791
 239	 952.967	0.0525	0.2578	-0.2053
 240	 953.000	0.0530	0.2847	-0.2317
 241	 953.033	0.0510	0.2872	-0.2362
 242	 953.067	0.0570	0.2400	-0.1830
 243	 953.100	0.0621	0.2384	-0.1764
 244	 953.133	0.0614	0.2336	-0.1722
 245	 953.167	0.1834	0.2283	-0.0449
 246	 953.200	0.2027	0.1850	+0.0177
 247	 953.233	0.2104	0.1763	+0.0340
 248	 953.267	0.2144	0.1830	+0.0314
 249	 953.300	0.2168	0.2137	+0.0032
 250	 953.333	0.2157	0.2047	+0.0111
 251	 953.367	0.2274	0.2143	+0.0131
 252	 953.400	0.1096	0.2663	-0.1567
 253	 953.433	0.0957	0.3319	-0.2362
 254	 953.467	0.2170	0.3200	-0.1030
 255	 953.500	0.2386	0.3549	-0.1163
 256	 953.533	0.2546	0.3979	-0.1433
 257	 953.567	0.2809	0.4480	-0.1672
 258	 953.600	0.2979	0.4147	-0.1169
 259	 953.633	0.3407	0.3282	+0.0125
 260	 953.667	0.3468	0.2714	+0.0755
 261	 953.700	0.2298	0.3082	-0.0784
 262	 953.733	0.2005	0.3035	-0.1030
 263	 953.767	0.1776	0.2348	-0.0573
 264	 953.800	0.2009	0.2143	-0.0133
 265	 953.833	0.1622	0.2139	-0.0517
 266	 953.867	0.1512	0.1980	-0.0467
 267	 953.900	0.1699	0.2553	-0.0854
 268	 953.933	0.1865	0.2880	-0.1015
 269	 953.967	0.2083	0.2618	-0.0535
 270	 954.000	0.2263	0.2684	-0.0421
 271	 954.033	0.1815	0.2934	-0.1119
 272	 954.067	0.1881	0.3573	-0.1692
 273	 954.100	0.1595	0.4278	-0.2683
 274	 954.133	0.1286	0.4034	-0.2749
 275	 954.167	0.1067	0.3311	-0.2244
 276	 954.200	0.0964	0.2923	-0.1959
 277	 954.233	0.0824	0.2973	-0.2150
 278	 954.267	0.0805	0.2783	-0.1978
 279	 954.300	0.0825	0.2323	-0.1498
 280	 954.333	0.0761	0.1786	-0.1024
 281	 954.367	0.2045	0.1437	+0.0608
 282	 954.400	0.2011	0.1781	+0.0229
 283	 954.433	0.1996	0.2456	-0.0460
 284	 954.467	0.1981	0.2838	-0.0857
 285	 954.500	0.2001	0.2496	-0.0495
 286	 954.533	0.1936	0.2621	-0.0685
 287	 954.567	0.2011	0.3408	-0.1397
 288	 954.600	0.0726	0.3753	-0.3027
 289	 954.633	0.0711	0.3876	-0.3165
 290	 954.667	0.0675	0.3831	-0.3157
 291	 954.700	0.2015	0.3756	-0.1742
 292	 954.733	0.1914	0.3780	-0.1866
 293	 954.767	0.2011	0.4020	-0.2009
 294	 954.800	0.1939	0.3918	-0.1979
 295	 954.833	0.1880	0.4177	-0.2297
 296	 954.867	0.1976	0.4251	-0.2276
 297	 954.900	0.3332	0.4457	-0.1126
 298	 954.933	0.2138	0.4726	-0.2587
 299	 954.967	0.2340	0.4795	-0.2455
 300	 955.000	0.2489	0.4393	-0.1904
 301	 955.033	0.2585	0.4042	-0.1457
 302	 955.067	0.2718	0.4031	-0.1313
 303	 955.100	0.2657	0.3774	-0.1118
 304	 955.133	0.1324	0.3411	-0.2087
 305	 955.167	0.1335	0.3095	-0.1760
 306	 955.200	0.1324	0.3022	-0.1698
 307	 955.233	0.1165	0.3268	-0.2103
 308	 955.267	0.1370	0.3943	-0.2573
 309	 955.300	0.1610	0.3774	-0.2165
 310	 955.333	0.2916	0.4195	-0.1279
 311	 955.367	0.3140	0.4510	-0.1370
 312	 955.400	0.3334	0.4486	-0.1152
 313	 955.433	0.3573	0.4692	-0.1119
 314	 955.467	0.3669	0.4364	-0.0695
 315	 955.500	0.3430	0.3399	+0.0031
 316	 955.533	0.3397	0.3437	-0.0040
 317	 955.567	0.2288	0.2983	-0.0695
 318	 955.600	0.2146	0.2501	-0.0356
 319	 955.633	0.1963	0.2362	-0.0399
 320	 955.667	0.1957	0.2110	-0.0153
 321	 955.700	0.2079	0.1993	+0.0086
 322	 955.733	0.3361	0.1868	+0.1493
 323	 955.767	0.3362	0.1388	+0.1974
 324	 955.800	0.3236	0.1263	+0.1973
 325	 955.833	0.3301	0.1277	+0.2024
 326	 955.867	0.3150	0.1056	+0.2094
 327	 955.900	0.2746	0.1236	+0.1510
 328	 955.933	0.2424	0.1602	+0.0823
 329	 955.967	0.1221	0.1872	-0.0651
 330	 956.000	0.0899	0.2188	-0.1289
 331	 956.033	0.0904	0.2973	-0.2069
 332	 956.067	0.0772	0.3439	-0.2668
 333	 956.100	0.0908	0.3767	-0.2859
 334	 956.133	0.1039	0.4627	-0.3588
 335	 956.167	0.1178	0.4677	-0.3499
 336	 956.200	0.2506	0.4794	-0.2288
 337	 956.233	0.2498	0.5001	-0.2504
 338	 956.267	0.2368	0.4231	-0.1863
 339	 956.300	0.2345	0.3658	-0.1313
 340	 956.333	0.2259	0.3538	-0.1279
 341	 956.367	0.2184	0.2728	-0.0544
 342	 956.400	0.2078	0.2618	-0.0540
 343	 956.433	0.2041	0.2145	-0.0104
 344	 956.467	0.2091	0.1706	+0.0386
 345	 956.500	0.2149	0.1711	+0.0438
 346	 956.533	0.2213	0.1799	+0.0414
 347	 956.567	0.2116	0.1951	+0.0166
 348	 956.600	0.2011	0.2102	-0.0090
 349	 956.633	0.1955	0.2098	-0.0143
 350	 956.667	0.0503	0.2590	-0.2088
 351	 956.700	0.0436	0.2688	-0.2253
 352	 956.733	0.0476	0.2679	-0.2203
 353	 956.767	0.0375	0.2543	-0.2168
 354	 956.800	0.0354	0.2248	-0.1894
 355	 956.833	0.0366	0.1998	-0.1631
 356	 956.867	0.0451	0.1879	-0.1429
 357	 956.900	0.0449	0.2428	-0.1979
 358	 956.933	0.0443	0.2575	-0.2132
 359	 956.967	0.0411	0.2477	-0.2066
 360	 957.000	0.0504	0.2623	-0.2118
 361	 957.033	0.0501	0.3005	-0.2503
 362	 957.067	0.0589	0.3922	-0.3333
 363	 957.100	0.0604	0.3757	-0.3154
 364	 957.133	0.0564	0.4298	-0.3734
 365	 957.167	0.0561	0.3970	-0.3409
 366	 957.200	0.0472	0.4013	-0.3541
 367	 957.233	0.0354	0.3823	-0.3469
 368	 957.267	0.0345	0.3351	-0.3006
 369	 957.300	0.0273	0.2268	-0.1994
 370	 957.333	0.0170	0.4529	-0.4359
 371	 957.367	0.0179	0.3135	-0.2956
 372	 957.400	0.0156	0.3406	-0.3250
 373	 957.433	0.0158	0.4657	-0.4499
 374	 957.467	0.0155	0.5674	-0.5519
 375	 957.500	0.0157	0.6237	-0.6080
 376	 957.533	0.1700	0.6668	-0.4968
 377	 957.567	0.1679	0.4543	-0.2864
 378	 957.600	0.1681	0.4397	-0.2716
 379	 957.633	0.1687	0.4523	-0.2836
 380	 957.667	0.1678	0.3339	-0.1662
 381	 957.700	0.1682	0.2288	-0.0606
 382	 957.733	0.1694	0.1899	-0.0205
 383	 957.767	0.0144	0.1873	-0.1730
 384	 957.800	0.0183	0.1960	-0.1777
 385	 957.833	0.0178	0.2258	-0.2080
 386	 957.867	0.0168	0.2237	-0.2069
 387	 957.900	0.1637	0.2653	-0.1017
 388	 957.933	0.1613	0.3207	-0.1595
 389	 957.967	0.1729	0.3568	-0.1839
 390	 958.000	0.1726	0.3695	-0.1969
 391	 958.033	0.1709	0.3885	-0.2176
 392	 958.067	0.1710	0.4214	-0.2504
 393	 958.100	0.1716	0.4141	-0.2425
 394	 958.133	0.0247	0.3555	-0.3308
 395	 958.167	0.0269	0.3321	-0.3052
 396	 958.200	0.0152	0.2851	-0.2699
 397	 958.233	0.0251	0.2291	-0.2040
 398	 958.267	0.0359	0.3216	-0.2857
 399	 958.300	0.0362	0.2702	-0.2339
 400	 958.333	0.0359	0.3861	-0.3502
 401	 958.367	0.0499	0.4014	-0.3515
 402	 958.400	0.0490	0.4087	-0.3597
 403	 958.433	0.0478	0.4162	-0.3684
 404	 958.467	0.0377	0.4452	-0.4076
 405	 958.500	0.0263	0.3501	-0.3238
 406	 958.533	0.0265	0.3349	-0.3084
 407	 958.567	0.0398	0.2032	-0.1634
 408	 958.600	0.0257	0.2212	-0.1956
 409	 958.633	0.0276	0.1985	-0.1708
 410	 958.667	0.0281	0.1986	-0.1706
 411	 958.700	0.0294	0.1805	-0.1510
 412	 958.733	0.0303	0.1484	-0.1180
 413	 958.767	0.0312	0.2063	-0.1751
 414	 958.800	0.0189	0.1992	-0.1803
 415	 958.833	0.0199	0.1949	-0.1750
 416	 958.867	0.0194	0.2166	-0.1972
 417	 958.900	0.0200	0.3052	-0.2852
 418	 958.933	0.0191	0.3148	-0.2957
 419	 958.967	0.0185	0.3167	-0.2982
 420	 959.000	0.0246	0.2848	-0.2602
 421	 959.033	0.0230	0.2956	-0.2726
 422	 959.067	0.0221	0.2661	-0.2440
 423	 959.100	0.0208	0.2167	-0.1959
 424	 959.133	0.0189	0.1194	-0.1004
 425	 959.167	0.0193	0.1402	-0.1209
 426	 959.200	0.0187	0.1799	-0.1612
 427	 959.233	0.0104	0.2043	-0.1939
 428	 959.267	0.0109	0.2212	-0.2103
 429	 959.300	0.0117	0.2450	-0.2333
 430	 959.333	0.0178	0.2659	-0.2481
 431	 959.367	0.0196	0.3042	-0.2847
 432	 959.400	0.0171	0.3468	-0.3297
 433	 959.433	0.0178	0.3482	-0.3304
 434	 959.467	0.0170	0.3410	-0.3240
 435	 959.500	0.0180	0.3381	-0.3200
 436	 959.533	0.0182	0.3434	-0.3252
 437	 959.567	0.1620	0.3635	-0.2015
 438	 959.600	0.1615	0.3177	-0.1562
