# Speaker sequence BEFORE vs AFTER window-9 modal filter for c1
# Total switch count (full clip frames 0-1200): BEFORE=104 -> AFTER=56
# Slice switch count (frames 650-760): BEFORE=15 -> AFTER=8
#
# frame	raw_label	smoothed_label
 650	None     	None     
 651	spk_a    	None     
 652	spk_a    	spk_a    
 653	spk_a    	spk_a    
 654	spk_a    	spk_a    
 655	both     	both     
 656	both     	both     
 657	both     	both     
 658	both     	both     
 659	both     	both     
 660	both     	both     
 661	both     	both     
 662	both     	both     
 663	spk_b    	both     
 664	both     	both     
 665	both     	both     
 666	both     	both     
 667	both     	both     
 668	both     	both     
 669	both     	both     
 670	both     	both     
 671	both     	both     
 672	both     	both     
 673	both     	both     
 674	both     	both     
 675	both     	both     
 676	both     	both     
 677	both     	both     
 678	both     	both     
 679	spk_b    	spk_b    
 680	spk_b    	spk_b    
 681	spk_b    	spk_b    
 682	spk_b    	spk_b    
 683	spk_b    	spk_b    
 684	both     	spk_b    
 685	both     	spk_b    
 686	both     	both     
 687	None     	both     
 688	None     	both     
 689	None     	both     
 690	both     	both     
 691	both     	both     
 692	both     	both     
 693	both     	both     
 694	both     	both     
 695	both     	both     
 696	both     	both     
 697	both     	both     
 698	both     	both     
 699	both     	both     
 700	both     	both     
 701	both     	both     
 702	both     	both     
 703	both     	both     
 704	both     	both     
 705	both     	both     
 706	spk_b    	both     
 707	spk_b    	both     
 708	spk_b    	both     
 709	both     	both     
 710	both     	both     
 711	both     	both     
 712	both     	both     
 713	both     	both     
 714	both     	both     
 715	both     	both     
 716	spk_b    	both     
 717	spk_b    	both     
 718	spk_b    	both     
 719	both     	both     
 720	both     	spk_b    
 721	both     	spk_b    
 722	both     	spk_b    
 723	spk_b    	both     
 724	spk_b    	both     
 725	spk_b    	None     
 726	None     	None     
 727	None     	None     
 728	None     	None     
 729	None     	None     
 730	None     	None     
 731	None     	None     
 732	None     	None     
 733	None     	None     
 734	None     	None     
 735	spk_b    	spk_b    
 736	spk_b    	spk_b    
 737	spk_b    	spk_b    
 738	spk_b    	spk_b    
 739	spk_b    	spk_b    
 740	spk_b    	spk_b    
 741	spk_b    	spk_b    
 742	spk_b    	spk_b    
 743	spk_b    	spk_b    
 744	spk_b    	spk_b    
 745	spk_b    	spk_b    
 746	spk_b    	spk_b    
 747	spk_b    	spk_b    
 748	spk_b    	spk_b    
 749	spk_b    	spk_b    
 750	spk_b    	spk_b    
 751	spk_b    	spk_b    
 752	spk_b    	spk_b    
 753	spk_b    	spk_b    
 754	spk_b    	spk_b    
 755	spk_b    	spk_b    
 756	spk_b    	spk_b    
 757	spk_b    	spk_b    
 758	spk_b    	spk_b    
 759	spk_b    	spk_b    
 760	spk_b    	spk_b    
