frame	mouth_a	mouth_b	diar_a	diar_b	sa	sb	is_both	clause	raw_label
 650	0.0128	0.3653	1.0000	0.0000	0.4570	0.2009	False	none      	spk_a
 651	0.0140	0.3712	1.0000	0.0000	0.4577	0.2042	False	none      	spk_a
 652	0.1539	0.3709	1.0000	0.0000	0.5346	0.2040	False	none      	spk_a
 653	0.1609	0.3934	1.0000	0.0000	0.5385	0.2163	False	none      	spk_a
 654	0.1623	0.4228	1.0000	0.0000	0.5393	0.2325	False	none      	spk_a
 655	0.3075	0.4221	0.0000	0.0000	0.1691	0.2322	True 	mouth-AND 	both
 656	0.3166	0.3869	0.0000	0.0000	0.1741	0.2128	True 	mouth-AND 	both
 657	0.3327	0.3596	0.0000	0.0000	0.1830	0.1978	True 	mouth-AND 	both
 658	0.4762	0.3314	0.0000	0.0000	0.2619	0.1822	True 	mouth-AND 	both
 659	0.4756	0.2926	0.0000	0.0000	0.2616	0.1609	True 	mouth-AND 	both
 660	0.4705	0.2592	0.0000	0.0000	0.2588	0.1426	True 	mouth-AND 	both
 661	0.4692	0.2476	0.0000	0.0000	0.2581	0.1362	True 	mouth-AND 	both
 662	0.3257	0.2019	0.0000	1.0000	0.1791	0.5611	True 	mouth-AND 	both
 663	0.3194	0.1954	0.0000	1.0000	0.1757	0.5575	False	none      	spk_b
 664	0.3033	0.2647	0.0000	1.0000	0.1668	0.5956	True 	mouth-AND 	both
 665	0.3017	0.3413	0.0000	1.0000	0.1659	0.6377	True 	mouth-AND 	both
 666	0.3016	0.4178	0.0000	1.0000	0.1659	0.6798	True 	mouth-AND 	both
 667	0.3001	0.4451	0.0000	1.0000	0.1650	0.6948	True 	mouth-AND 	both
 668	0.2989	0.4302	0.0000	1.0000	0.1644	0.6866	True 	mouth-AND 	both
 669	0.2967	0.4535	0.0000	1.0000	0.1632	0.6994	True 	mouth-AND 	both
 670	0.2949	0.4351	0.0000	1.0000	0.1622	0.6893	True 	mouth-AND 	both
 671	0.3037	0.4186	0.0000	1.0000	0.1670	0.6803	True 	mouth-AND 	both
 672	0.3036	0.4518	0.0000	1.0000	0.1670	0.6985	True 	mouth-AND 	both
 673	0.2080	0.4978	0.0000	1.0000	0.1144	0.7238	True 	mouth-AND 	both
 674	0.2539	0.5364	0.0000	1.0000	0.1397	0.7450	True 	mouth-AND 	both
 675	0.2836	0.5419	0.0000	1.0000	0.1560	0.7480	True 	mouth-AND 	both
 676	0.3052	0.5452	0.0000	1.0000	0.1678	0.7498	True 	mouth-AND 	both
 677	0.3095	0.5567	0.0000	1.0000	0.1702	0.7562	True 	mouth-AND 	both
 678	0.3115	0.5373	0.0000	1.0000	0.1713	0.7455	True 	mouth-AND 	both
 679	0.1940	0.4896	0.0000	1.0000	0.1067	0.7193	False	none      	spk_b
 680	0.1622	0.4275	0.0000	1.0000	0.0892	0.6851	False	none      	spk_b
 681	0.1383	0.3454	0.0000	1.0000	0.0761	0.6400	False	none      	spk_b
 682	0.1282	0.3466	0.0000	1.0000	0.0705	0.6406	False	none      	spk_b
