# Raw pre-smoothing both frames for c1 (total=204)
# Distribution: min=0.1113, max=0.4789, mean=0.1875
# frame	min_sa_sb
   5	0.1167
   6	0.2273
   7	0.3093
   8	0.3169
   9	0.2965
  10	0.2854
  20	0.3732
  21	0.3600
  22	0.2871
  23	0.2062
  24	0.1179
  30	0.1113
  31	0.1630
  32	0.1971
  33	0.2133
  34	0.2576
  35	0.2741
  38	0.1347
  51	0.1263
  52	0.1645
  53	0.2035
  54	0.2282
  55	0.2356
  56	0.2372
  64	0.1714
  65	0.1442
  87	0.1655
  93	0.1286
 129	0.1212
 130	0.1421
 131	0.1488
 132	0.1236
 182	0.2073
 183	0.2293
 184	0.2236
 185	0.3628
 186	0.3177
 187	0.2894
 188	0.2721
 199	0.4542
 200	0.4789
 201	0.4731
 202	0.4729
 249	0.1175
 250	0.1126
 251	0.1178
 254	0.1760
 255	0.1952
 256	0.2189
 257	0.2464
 258	0.2281
 259	0.1805
 260	0.1492
 261	0.1695
 262	0.1669
 264	0.1178
 269	0.1440
 270	0.1476
 285	0.1373
 287	0.1874
 291	0.2066
 293	0.2211
 297	0.2451
 298	0.2599
 299	0.2637
 300	0.2416
 301	0.2223
 302	0.2217
 303	0.2076
 310	0.2307
 311	0.2481
 312	0.2468
 313	0.2581
 314	0.2400
 315	0.1869
 316	0.1890
 317	0.1640
 318	0.1376
 336	0.2637
 337	0.2751
 338	0.2327
 339	0.2012
 340	0.1946
 341	0.1501
 342	0.1440
 343	0.1180
 348	0.1156
 460	0.1279
 461	0.1267
 462	0.1244
 463	0.1244
 464	0.1244
 465	0.1244
 466	0.1248
 484	0.2356
 485	0.1727
 486	0.1713
 487	0.1558
 488	0.2087
 489	0.1782
 490	0.1295
 491	0.1507
 492	0.1425
 493	0.1525
 494	0.1555
 498	0.1600
 499	0.1983
 500	0.2083
 501	0.2273
 502	0.2195
 503	0.2050
 504	0.1956
 655	0.1691
 656	0.1741
 657	0.1830
 658	0.1822
 659	0.1609
 660	0.1426
 661	0.1362
 662	0.1791
 664	0.1668
 665	0.1659
 666	0.1659
 667	0.1650
 668	0.1644
 669	0.1632
 670	0.1622
 671	0.1670
 672	0.1670
 673	0.1144
 674	0.1397
 675	0.1560
 676	0.1678
 677	0.1702
 678	0.1713
 684	0.1497
 685	0.1734
 686	0.1914
 687	0.2215
 688	0.2331
 689	0.2262
 690	0.2288
 691	0.1888
 692	0.1938
 693	0.1949
 694	0.1765
 695	0.1734
 696	0.1828
 697	0.1788
 698	0.2210
 699	0.2684
 700	0.2424
 701	0.2286
 702	0.2185
 703	0.2097
 704	0.2067
 705	0.1305
 709	0.1317
 710	0.1415
 711	0.1408
 712	0.1360
 713	0.1350
 714	0.1412
 715	0.1410
 719	0.1291
 720	0.1253
 721	0.1156
 722	0.1117
 770	0.1708
 771	0.1705
 772	0.1755
 773	0.1773
 774	0.1775
 822	0.1273
 823	0.1451
 824	0.1477
 846	0.2552
 847	0.2359
 848	0.2026
 849	0.1833
 850	0.1623
 851	0.1496
 852	0.2070
 853	0.1396
 854	0.1301
 855	0.1271
 856	0.1285
 857	0.1253
 858	0.1144
 901	0.1396
 902	0.1490
 915	0.1409
 916	0.1380
 917	0.1351
 918	0.1296
 919	0.1261
 921	0.1281
 922	0.1380
 923	0.1470
 924	0.1537
 925	0.1581
 926	0.1528
 927	0.1449
1085	0.1855
