frame	fused_speaker	diar_label_at_that_frame	vad_speech	eq=(fused==diar)
   0	spk_a        	spk_a                   	True      	True
   1	spk_a        	spk_a                   	True      	True
   2	spk_a        	spk_a                   	True      	True
   3	spk_a        	spk_a                   	True      	True
   4	spk_a        	spk_a                   	True      	True
   5	spk_a        	spk_a                   	True      	True
   6	spk_a        	spk_a                   	True      	True
   7	spk_a        	spk_a                   	True      	True
   8	spk_a        	spk_a                   	True      	True
   9	spk_a        	spk_a                   	True      	True
  10	spk_a        	spk_a                   	True      	True
  11	spk_a        	spk_a                   	True      	True
  12	spk_a        	spk_a                   	True      	True
  13	spk_a        	spk_a                   	True      	True
  14	spk_a        	spk_a                   	True      	True
  15	spk_a        	spk_a                   	True      	True
  16	spk_a        	spk_a                   	True      	True
  17	spk_a        	spk_a                   	True      	True
  18	spk_a        	spk_a                   	True      	True
  19	spk_a        	spk_a                   	True      	True
  20	spk_a        	spk_a                   	True      	True
  21	spk_a        	spk_a                   	True      	True
  22	spk_a        	spk_a                   	True      	True
  23	spk_a        	spk_a                   	True      	True
  24	spk_a        	spk_a                   	True      	True
  25	spk_a        	spk_a                   	True      	True
  26	spk_a        	spk_a                   	True      	True
  27	spk_a        	spk_a                   	True      	True
  28	spk_a        	spk_a                   	True      	True
  29	spk_a        	spk_a                   	True      	True
  30	spk_a        	spk_a                   	True      	True
  31	spk_a        	spk_a                   	True      	True
  32	spk_a        	spk_a                   	True      	True
  33	spk_a        	spk_a                   	True      	True
  34	spk_a        	spk_a                   	True      	True
  35	spk_a        	spk_a                   	True      	True
  36	spk_a        	spk_a                   	True      	True
  37	spk_a        	spk_a                   	True      	True
  38	spk_a        	spk_a                   	True      	True
  39	spk_a        	spk_a                   	True      	True
  40	spk_a        	spk_a                   	True      	True
  41	spk_a        	spk_a                   	True      	True
  42	spk_a        	spk_a                   	True      	True
  43	spk_a        	spk_a                   	True      	True
  44	spk_a        	spk_a                   	True      	True
  45	spk_a        	spk_a                   	True      	True
  46	spk_a        	spk_a                   	True      	True
  47	spk_a        	spk_a                   	True      	True
  48	spk_a        	spk_a                   	True      	True
  49	spk_a        	spk_a                   	True      	True
  50	spk_a        	spk_a                   	True      	True
  51	spk_a        	spk_a                   	True      	True
  52	spk_a        	spk_a                   	True      	True
  53	spk_a        	spk_a                   	True      	True
  54	spk_a        	spk_a                   	True      	True
  55	spk_a        	spk_a                   	True      	True
  56	spk_a        	spk_a                   	True      	True
  57	spk_a        	spk_a                   	True      	True
  58	spk_a        	spk_a                   	True      	True
  59	spk_a        	spk_a                   	True      	True
  60	spk_a        	spk_a                   	True      	True
  61	spk_a        	spk_a                   	True      	True
  62	spk_a        	spk_a                   	True      	True
  63	spk_a        	spk_a                   	True      	True
  64	spk_a        	spk_a                   	True      	True
  65	spk_a        	spk_a                   	True      	True
  66	spk_a        	spk_a                   	True      	True
  67	spk_a        	spk_a                   	True      	True
  68	spk_a        	spk_a                   	True      	True
  69	silence      	spk_a                   	False     	False
  70	silence      	spk_a                   	False     	False
  71	silence      	spk_a                   	False     	False
  72	silence      	spk_a                   	False     	False
  73	silence      	spk_a                   	False     	False
  74	silence      	spk_a                   	False     	False
  75	silence      	spk_a                   	False     	False
  76	silence      	spk_a                   	False     	False
  77	silence      	spk_a                   	False     	False
  78	spk_a        	spk_a                   	True      	True
  79	spk_a        	spk_a                   	True      	True
  80	spk_a        	spk_a                   	True      	True
  81	spk_a        	spk_a                   	True      	True
  82	spk_a        	spk_a                   	True      	True
  83	spk_a        	spk_a                   	True      	True
  84	spk_a        	spk_a                   	True      	True
  85	spk_a        	spk_a                   	True      	True
  86	spk_a        	spk_a                   	True      	True
  87	spk_a        	spk_a                   	True      	True
  88	spk_a        	spk_a                   	True      	True
  89	spk_a        	spk_a                   	True      	True
  90	spk_a        	spk_a                   	True      	True
  91	spk_a        	spk_a                   	True      	True
  92	spk_a        	spk_a                   	True      	True
  93	spk_a        	spk_a                   	True      	True
  94	spk_a        	spk_a                   	True      	True
  95	spk_a        	spk_a                   	True      	True
  96	spk_a        	spk_a                   	True      	True
  97	spk_a        	spk_a                   	True      	True
  98	spk_a        	spk_a                   	True      	True
  99	spk_a        	spk_a                   	True      	True
 100	spk_a        	spk_a                   	True      	True
 101	spk_a        	spk_a                   	True      	True
 102	spk_a        	spk_a                   	True      	True
 103	spk_a        	spk_a                   	True      	True
 104	spk_a        	spk_a                   	True      	True
 105	spk_a        	spk_a                   	True      	True
 106	spk_a        	spk_a                   	True      	True
 107	spk_a        	spk_a                   	True      	True
 108	silence      	spk_a                   	False     	False
 109	silence      	spk_a                   	False     	False
 110	silence      	spk_a                   	False     	False
 111	silence      	spk_a                   	False     	False
 112	silence      	spk_a                   	False     	False
 113	silence      	spk_a                   	False     	False
 114	silence      	spk_a                   	False     	False
 115	silence      	spk_a                   	False     	False
 116	silence      	spk_a                   	False     	False
 117	silence      	spk_a                   	False     	False
 118	silence      	spk_a                   	False     	False
 119	silence      	spk_a                   	False     	False
 120	spk_a        	spk_a                   	True      	True
 121	spk_a        	spk_a                   	True      	True
 122	spk_a        	spk_a                   	True      	True
 123	spk_a        	spk_a                   	True      	True
 124	spk_a        	spk_a                   	True      	True
 125	spk_a        	spk_a                   	True      	True
 126	spk_a        	spk_a                   	True      	True
 127	spk_a        	spk_a                   	True      	True
 128	spk_a        	spk_a                   	True      	True
 129	spk_a        	spk_a                   	True      	True
 130	spk_a        	spk_a                   	True      	True
 131	spk_a        	spk_a                   	True      	True
 132	spk_a        	spk_a                   	True      	True
