# Per-frame agreement breakdown for reel_c1: fused active speaker timeline vs diarization label
# Note: diar_label shows raw transcript segment speaker; vad_speech gates active speech evaluation.
# frame	vad_speech	fused_label	diar_label	mouth_raw	agree
   0	True 	spk_a      	spk_a  	spk_a  	True 
   1	True 	spk_a      	spk_a  	spk_a  	True 
   2	True 	spk_a      	spk_a  	spk_a  	True 
   3	True 	spk_a      	spk_a  	spk_a  	True 
   4	True 	spk_a      	spk_a  	spk_a  	True 
   5	True 	spk_a      	spk_a  	spk_a  	True 
   6	True 	spk_a      	spk_a  	spk_a  	True 
   7	True 	spk_a      	spk_a  	spk_b  	True 
   8	True 	spk_a      	spk_a  	spk_b  	True 
   9	True 	spk_a      	spk_a  	spk_b  	True 
  10	True 	spk_a      	spk_a  	spk_b  	True 
  11	True 	spk_a      	spk_a  	spk_b  	True 
  12	True 	spk_a      	spk_a  	spk_b  	True 
  13	True 	spk_a      	spk_a  	spk_b  	True 
  14	True 	spk_a      	spk_a  	spk_b  	True 
  15	True 	spk_a      	spk_a  	spk_b  	True 
  16	True 	spk_a      	spk_a  	spk_b  	True 
  17	True 	spk_a      	spk_a  	spk_b  	True 
  18	True 	spk_a      	spk_a  	spk_b  	True 
  19	True 	spk_a      	spk_a  	spk_b  	True 
  20	True 	spk_a      	spk_a  	spk_b  	True 
  21	True 	spk_a      	spk_a  	spk_b  	True 
  22	True 	spk_a      	spk_a  	spk_b  	True 
  23	True 	spk_a      	spk_a  	spk_b  	True 
  24	True 	spk_a      	spk_a  	spk_a  	True 
  25	True 	spk_a      	spk_a  	spk_a  	True 
  26	True 	spk_a      	spk_a  	spk_a  	True 
  27	True 	spk_a      	spk_a  	spk_a  	True 
  28	True 	spk_a      	spk_a  	spk_a  	True 
  29	True 	spk_a      	spk_a  	spk_a  	True 
  30	True 	spk_a      	spk_a  	spk_a  	True 
  31	True 	spk_a      	spk_a  	spk_a  	True 
  32	True 	spk_a      	spk_a  	spk_b  	True 
  33	True 	spk_a      	spk_a  	spk_b  	True 
  34	True 	spk_a      	spk_a  	spk_b  	True 
  35	True 	spk_a      	spk_a  	spk_b  	True 
  36	True 	spk_a      	spk_a  	spk_b  	True 
  37	True 	spk_a      	spk_a  	spk_b  	True 
  38	True 	spk_a      	spk_a  	spk_a  	True 
  39	True 	spk_a      	spk_a  	spk_a  	True 
  40	True 	spk_a      	spk_a  	spk_a  	True 
  41	True 	spk_a      	spk_a  	spk_a  	True 
  42	True 	spk_a      	spk_a  	spk_a  	True 
  43	True 	spk_a      	spk_a  	spk_a  	True 
  44	True 	spk_a      	spk_a  	spk_a  	True 
  45	True 	spk_a      	spk_a  	spk_a  	True 
  46	True 	spk_a      	spk_a  	spk_a  	True 
  47	True 	spk_a      	spk_a  	spk_a  	True 
  48	True 	spk_a      	spk_a  	spk_a  	True 
  49	True 	spk_a      	spk_a  	spk_a  	True 
  50	True 	spk_a      	spk_a  	spk_a  	True 
  51	True 	spk_a      	spk_a  	spk_a  	True 
  52	True 	spk_a      	spk_a  	spk_a  	True 
  53	True 	spk_a      	spk_a  	spk_b  	True 
  54	True 	spk_a      	spk_a  	spk_b  	True 
  55	True 	spk_a      	spk_a  	spk_b  	True 
  56	True 	spk_a      	spk_a  	spk_b  	True 
  57	True 	spk_a      	spk_a  	spk_b  	True 
  58	True 	spk_a      	spk_a  	spk_b  	True 
  59	True 	spk_a      	spk_a  	spk_b  	True 
  60	True 	spk_a      	spk_a  	spk_b  	True 
  61	True 	spk_a      	spk_a  	spk_b  	True 
  62	True 	spk_a      	spk_a  	spk_b  	True 
  63	True 	spk_a      	spk_a  	spk_b  	True 
  64	True 	spk_a      	spk_a  	spk_b  	True 
  65	True 	spk_a      	spk_a  	spk_b  	True 
  66	True 	spk_a      	spk_a  	spk_a  	True 
  67	True 	spk_a      	spk_a  	spk_a  	True 
  68	True 	spk_a      	spk_a  	spk_a  	True 
  69	False	silence    	spk_a  	spk_a  	False
  70	False	silence    	spk_a  	spk_a  	False
  71	False	silence    	spk_a  	spk_a  	False
