frame	mouth_winner	diar_winner	fused_winner	agree_mouth_vs_diar
    0	spk_a       	spk_a      	spk_a       	True
    1	spk_a       	spk_a      	spk_a       	True
    2	spk_a       	spk_a      	spk_a       	True
    3	spk_a       	spk_a      	spk_a       	True
    4	spk_a       	spk_a      	spk_a       	True
    5	spk_a       	spk_a      	spk_a       	True
    6	spk_a       	spk_a      	spk_a       	True
    7	spk_b       	spk_a      	spk_a       	False
    8	spk_b       	spk_a      	spk_a       	False
    9	spk_b       	spk_a      	spk_a       	False
   10	spk_b       	spk_a      	spk_a       	False
   11	spk_b       	spk_a      	spk_a       	False
   12	spk_b       	spk_a      	spk_a       	False
   13	spk_b       	spk_a      	spk_a       	False
   14	spk_b       	spk_a      	spk_a       	False
   15	spk_b       	spk_a      	spk_a       	False
   16	spk_b       	spk_a      	spk_a       	False
   17	spk_b       	spk_a      	spk_a       	False
   18	spk_b       	spk_a      	spk_a       	False
   19	spk_b       	spk_a      	spk_a       	False
   20	spk_b       	spk_a      	spk_a       	False
   21	spk_b       	spk_a      	spk_a       	False
   22	spk_b       	spk_a      	spk_a       	False
   23	spk_b       	spk_a      	spk_a       	False
   24	spk_a       	spk_a      	spk_a       	True
   25	spk_a       	spk_a      	spk_a       	True
   26	spk_a       	spk_a      	spk_a       	True
   27	spk_a       	spk_a      	spk_a       	True
   28	spk_a       	spk_a      	spk_a       	True
   29	spk_a       	spk_a      	spk_a       	True
   30	spk_a       	spk_a      	spk_a       	True
   31	spk_a       	spk_a      	spk_a       	True
   32	spk_b       	spk_a      	spk_a       	False
   33	spk_b       	spk_a      	spk_a       	False
   34	spk_b       	spk_a      	spk_a       	False
   35	spk_b       	spk_a      	spk_a       	False
   36	spk_b       	spk_a      	spk_a       	False
   37	spk_b       	spk_a      	spk_a       	False
   38	spk_a       	spk_a      	spk_a       	True
   39	spk_a       	spk_a      	spk_a       	True
   40	spk_a       	spk_a      	spk_a       	True
   41	spk_a       	spk_a      	spk_a       	True
   42	spk_a       	spk_a      	spk_a       	True
   43	spk_a       	spk_a      	spk_a       	True
   44	spk_a       	spk_a      	spk_a       	True
   45	spk_a       	spk_a      	spk_a       	True
   46	spk_a       	spk_a      	spk_a       	True
   47	spk_a       	spk_a      	spk_a       	True
   48	spk_a       	spk_a      	spk_a       	True
   49	spk_a       	spk_a      	spk_a       	True
   50	spk_a       	spk_a      	spk_a       	True
   51	spk_a       	spk_a      	spk_a       	True
   52	spk_a       	spk_a      	spk_a       	True
   53	spk_b       	spk_a      	spk_a       	False
   54	spk_b       	spk_a      	spk_a       	False
   55	spk_b       	spk_a      	spk_a       	False
   56	spk_b       	spk_a      	spk_a       	False
   57	spk_b       	spk_a      	spk_a       	False
